Talk-Show	46278
Reality-TV	32462
Comedy	29003
Drama	28692
Documentary	27955
Game-Show	27422
Sport	21179
News	19497
Comedy,Music,Talk-Show	15684
Drama,Romance	13258
Comedy,Talk-Show	11650
Family	10958
Documentary,News	8645
Music	8630
Adult	7747
Family,Game-Show	7638
Crime,Drama,Mystery	7192
Crime,Drama	7132
Family,Game-Show,Reality-TV	7007
Comedy,News,Talk-Show	6739
Game-Show,Reality-TV	6232
Comedy,Drama,Music	6029
Drama,Family	5115
News,Talk-Show	5096
Comedy,Family	4708
Comedy,Drama,Romance	4544
Comedy,Drama	4128
News,Sport,Talk-Show	4119
Animation,Comedy,Family	4059
Crime	3733
Comedy,Drama,Family	3148
Comedy,Game-Show	3009
Action,Sport	2870
Documentary,Family	2784
Documentary,Reality-TV	2751
Documentary,History	2736
Comedy,Music	2701
Action,Comedy,Drama	2681
Action,Crime,Drama	2670
Game-Show,Music,Reality-TV	2606
Adventure,Animation,Comedy	2576
Comedy,Crime,Drama	2560
Action,Adventure,Animation	2480
Crime,Documentary	2405
Music,Talk-Show	2266
Drama,Talk-Show	2143
Crime,Reality-TV	2130
Biography,Documentary	2003
Animation,Comedy	1966
Adventure,Comedy,Family	1951
Reality-TV,Romance	1803
Game-Show,Short	1778
Comedy,Family,Game-Show	1767
Adventure,Drama,Family	1653
Adventure,Game-Show,Reality-TV	1626
Western	1575
Animation	1526
Family,Music	1360
Documentary,Talk-Show	1354
Comedy,News	1347
Game-Show,Music	1327
Comedy,Family,Music	1324
Music,Reality-TV	1307
Animation,Family	1269
Romance	1195
Comedy,Reality-TV	1141
Family,Game-Show,Music	1054
Biography,Documentary,History	1026
Comedy,Game-Show,Reality-TV	1011
Drama,Reality-TV	1009
Comedy,Romance	988
Biography,Documentary,Music	959
History	934
Adventure,Reality-TV	915
Comedy,Documentary	904
Action,Adventure,Crime	896
Comedy,Family,Talk-Show	885
Action,Crime,Reality-TV	836
Animation,Comedy,Crime	835
Comedy,Crime	826
Comedy,News,Sport	803
Crime,Documentary,Drama	793
Adventure,Drama,Romance	790
Drama,Thriller	784
Comedy,Drama,Horror	769
Comedy,Drama,Talk-Show	744
Comedy,Documentary,Music	725
Comedy,Family,Fantasy	706
Family,Reality-TV	696
Animation,Comedy,Short	684
Action,Adventure,Drama	681
Comedy,Drama,Game-Show	669
Documentary,Music	664
Comedy,Game-Show,News	657
Sci-Fi	657
Adventure,Comedy,Drama	634
Action,Game-Show,Reality-TV	605
Comedy,Sci-Fi	584
Documentary,Sport	580
Comedy,Game-Show,Music	566
Family,Fantasy	548
Reality-TV,Talk-Show	544
Comedy,Family,Reality-TV	533
Comedy,Reality-TV,Talk-Show	524
Action	512
Family,Fantasy,Music	505
Reality-TV,Sport	504
Adventure,Comedy,Reality-TV	490
Animation,Short	474
Action,Adventure,Comedy	473
Comedy,Game-Show,Sport	470
Biography	468
Thriller	442
Crime,Thriller	441
Documentary,News,Talk-Show	437
Adventure,Documentary	432
Comedy,Music,News	431
Drama,Family,Romance	431
Action,Animation,Comedy	415
Mystery	413
Sport,Talk-Show	411
Adventure,Comedy	408
Action,Crime	391
Adventure	389
Drama,Fantasy,Horror	370
Comedy,Sport,Talk-Show	364
Game-Show,Romance	359
Animation,Family,Music	348
Comedy,Drama,Fantasy	338
Adventure,Documentary,Reality-TV	337
Drama,Game-Show,Reality-TV	335
Comedy,Family,Romance	330
Crime,Mystery,Reality-TV	327
Musical,News,Reality-TV	321
Adventure,Family,Game-Show	320
Comedy,Music,Sport	307
Game-Show,Sport	306
Adventure,Documentary,Mystery	298
Comedy,Horror,Talk-Show	289
Horror,Reality-TV,Sci-Fi	287
Horror,Reality-TV	285
Action,Reality-TV,Sport	282
Crime,News	282
News,Sport	281
Action,Reality-TV	274
Crime,Drama,Thriller	268
Musical	267
Drama,Family,Reality-TV	264
Action,Comedy	262
Action,Comedy,Crime	248
Documentary,History,Mystery	246
Documentary,Short	246
Adventure,Biography,Crime	239
Music,Musical	239
Biography,Horror,Music	237
Documentary,Reality-TV,Short	233
Comedy,Sport	231
Horror	229
History,Mystery,News	226
Comedy,Romance,Sport	216
Animation,Comedy,Drama	215
Documentary,History,Reality-TV	201
Documentary,Drama	199
Action,Crime,Thriller	197
Comedy,History	190
Comedy,Musical	188
Comedy,Reality-TV,Short	186
Adventure,Documentary,Family	182
Documentary,Mystery,Reality-TV	177
Short	177
Action,Drama	173
Adventure,Game-Show	172
Crime,Documentary,Mystery	171
Adventure,Drama,Fantasy	169
Drama,Sport	159
Adventure,Comedy,Game-Show	158
Comedy,Drama,Reality-TV	154
Horror,Short	154
Drama,History,War	152
Biography,Family,News	151
Adventure,Fantasy	150
Biography,Family,Reality-TV	150
Action,Comedy,Sci-Fi	149
Family,News	149
Drama,Family,Fantasy	148
News,Short,Talk-Show	148
Action,Animation,Fantasy	145
Action,Game-Show,Sport	144
Crime,Family	143
Comedy,Fantasy,Sci-Fi	142
Fantasy	142
Animation,Crime,Family	139
Action,News,Sport	137
News,Reality-TV	134
Comedy,Drama,War	131
Comedy,Short	128
Drama,Horror,Thriller	126
Documentary,History,Sci-Fi	125
Crime,Mystery	120
Adventure,Crime,Family	109
Comedy,Music,Musical	109
Documentary,Family,Reality-TV	107
Adult,Romance	106
Adventure,Family	106
Comedy,Horror	105
Documentary,Drama,Reality-TV	105
Short,Talk-Show	105
Adventure,Crime,Reality-TV	104
Comedy,Family,Musical	102
Documentary,Romance	102
Drama,Fantasy,Mystery	100
Game-Show,Reality-TV,Sport	100
Comedy,Music,Reality-TV	95
Documentary,Reality-TV,Sport	94
Family,Short	94
Biography,Talk-Show	92
History,News	92
Animation,Comedy,Romance	90
Music,Reality-TV,Talk-Show	90
Comedy,Documentary,News	89
Animation,Family,Fantasy	86
Drama,Romance,Western	86
Animation,Horror	85
Drama,Romance,Sport	81
Biography,Crime,Documentary	79
Comedy,Drama,Mystery	79
Family,Reality-TV,Sport	77
Crime,Documentary,News	76
Game-Show,Music,Talk-Show	76
Comedy,Drama,Short	74
Animation,Comedy,Sci-Fi	72
Adventure,Comedy,Sci-Fi	71
Animation,Comedy,Music	71
Comedy,War	71
Documentary,Mystery,Sci-Fi	70
Documentary,Mystery,Thriller	69
Drama,Mystery,Thriller	69
Biography,History	67
Drama,Mystery	66
Action,Drama,Fantasy	65
Adventure,Comedy,Documentary	65
Animation,Comedy,News	65
Comedy,Family,News	65
Documentary,Sci-Fi	65
Game-Show,Talk-Show	64
Action,Adventure,Family	63
Crime,Drama,Romance	62
Adventure,Comedy,Crime	61
Adventure,Reality-TV,Short	58
Drama,Reality-TV,Romance	58
Documentary,Drama,History	57
Drama,History	57
Game-Show,Reality-TV,Short	57
Musical,Reality-TV	57
Adult,Comedy	56
Comedy,Mystery	56
Animation,Comedy,Sport	55
Crime,Drama,Fantasy	55
Comedy,Crime,Mystery	54
Drama,Mystery,Romance	53
Family,Music,Mystery	53
Action,Crime,Mystery	52
Documentary,History,War	52
Family,Talk-Show	52
Action,Adventure,Mystery	51
Action,Adventure,Sci-Fi	51
Action,Drama,Mystery	51
Comedy,Drama,Sci-Fi	49
Drama,Romance,War	49
Biography,Drama,Reality-TV	48
Adventure,History,Romance	47
Animation,Drama,Family	47
Documentary,Reality-TV,Romance	46
Drama,Fantasy	46
Reality-TV,Western	46
Biography,Reality-TV,Talk-Show	45
Game-Show,Reality-TV,Thriller	45
News,Sci-Fi	45
Action,Animation,Drama	44
